freq,cyc,cyc.1,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,ratio_59,c5_s,c9_s,ratio_59_s,e_freq,e_cyc,e_cyc.1,e_ROIsum,e_fBg,e_fA1,e_fWidth1,e_fCtr1,e_fA2,e_fWidth2,e_fCtr2,e_box1,e_box2,e_box3,e_box4,e_box5,e_box6,e_box7,e_box8,e_box9,e_Nfit,e_BZ-2,e_BZ-1,e_BZ0,e_BZ1,e_BZ2,e_Excited,e_c5,e_c7,e_c9,e_fraction95,e_fraction75,e_fraction97,e_sum95,e_two2D_bg,e_two2D_a1,e_two2D_sh1,e_two2D_sv1,e_two2D_ch1,e_two2D_cv1,e_two2D_a2,e_two2D_sh2,e_two2D_sv2,e_two2D_ch2,e_two2D_cv2,e_two2D_chd,e_two2D_cvd,e_ratio_59,e_c5_s,e_c9_s,e_ratio_59_s,em_freq,em_cyc,em_cyc.1,em_ROIsum,em_fBg,em_fA1,em_fWidth1,em_fCtr1,em_fA2,em_fWidth2,em_fCtr2,em_box1,em_box2,em_box3,em_box4,em_box5,em_box6,em_box7,em_box8,em_box9,em_Nfit,em_BZ-2,em_BZ-1,em_BZ0,em_BZ1,em_BZ2,em_Excited,em_c5,em_c7,em_c9,em_fraction95,em_fraction75,em_fraction97,em_sum95,em_two2D_bg,em_two2D_a1,em_two2D_sh1,em_two2D_sv1,em_two2D_ch1,em_two2D_cv1,em_two2D_a2,em_two2D_sh2,em_two2D_sv2,em_two2D_ch2,em_two2D_cv2,em_two2D_chd,em_two2D_cvd,em_ratio_59,em_c5_s,em_c9_s,em_ratio_59_s,filename,loss
45.3,156.0,156.0,27659.1,-0.03106545,43.92445,13.77545,115.1805,0.007344000000000002,1.707699999999999,0.0290370000091648,-1.02309,0.5685855,3.0600650000000003,0.4149635,1.0282415,-71.69395,13939.15,70.59,12985.05,19724.8,-0.5716535,1.0200225,3.962935,0.866402,1.479684,0.4068325,13996.3,75.78155000000001,13042.150000000001,0.49787249999999994,0.990591,0.010747215000000001,28212.25,-0.000202094,1.11106,14.0325,-0.04359999999999964,114.9245,90.0469,0.948507,13.79765,12.66175,114.356,140.62900000000002,0.5680320000000001,-50.58215,1.096875768406911,12.471443691890688,13.21707994709132,0.9553346259850706,45.3,11.313708498984761,11.313708498984761,1482.2372347232401,0.005825074952736656,2.7782932539600678,0.17020060223160224,0.04879036790187865,0.04281064869608962,51.08082818749125,0.04106451919766658,0.25229569952736003,0.4003716376824163,2.633484856240871,0.43707755069380994,2.675845502181413,12.73534668256032,895.5507383727625,1.8299923497107806,2340.7355777618286,992.7779207859127,0.17210625500689974,0.48056037509609556,2.473098896132138,0.3568881061733495,2.7560420177696856,0.3865703275272172,905.6623653437315,0.9078543963654153,2330.5532401127425,0.06094906900437446,0.0007141778489983814,0.0017746753862185607,1634.6187460689398,0.00014124316532845052,0.04232741192182675,0.34266394616300117,16.01229163861313,0.0530330085889981,0.29670200538587216,0.19440203892449281,0.08379215357060467,0.36352359620800345,0.03535533905932034,0.45113412639701095,0.088599065469112,0.1537957249080749,0.26544624478369055,,0.22988158776437173,,45.3,8.0,8.0,1048.0999999999995,0.004118949999999997,1.9645500000000027,0.12035000000000018,0.03450000000000486,0.030271700000000002,36.119600000000005,0.0290369999908352,0.17839999999999992,0.2831055,1.8621550000000002,0.30906049999999996,1.8921085,9.005250000000004,633.25,1.293999999999997,1655.15,702.0,0.12169750000000001,0.33980750000000004,1.7487450000000002,0.25235799999999997,1.9488159999999999,0.2733465,640.400000000001,0.6419500000000049,1647.9500000000003,0.0430975,0.0005049999999999777,0.0012548849999999994,1155.8499999999985,9.987400000000001e-05,0.029930000000000012,0.24230000000000018,11.3224,0.037500000000004974,0.20979999999999777,0.13746300000000003,0.05924999999999914,0.25704999999999956,0.024999999999995026,0.3189999999999955,0.06264899999999998,0.10875000000000057,0.1876988397270518,,0.16255082957811773,,2024-10-30_B_e.dat,184.41472241062547
45.305,25.0,25.0,30706.3,0.0208618,47.1989,14.0813,115.405,-0.00762391,-7.00022,91.4893,-0.342001,0.116568,-1.41664,3.92915,0.751863,7.4177,15619.1,78.4738,13899.4,21637.4,-0.388708,0.0698608,-1.51005,3.88244,0.705155,1.54738,15613.1,77.9367,13893.5,0.507628,0.99134,0.0102277,30757.1,-3.56096e-05,1.20773,14.432,11.4078,115.183,89.1361,0.988642,14.1413,12.7294,114.597,139.543,0.585719,-50.4068,1.1237701083240363,12.831109445406504,13.416790384439938,0.9563471648396121,45.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-1432.3852775893756
45.315,7.0,7.0,30007.2,0.0133299,48.2118,13.4968,115.523,0.00308038,7.87824,5.25535e-10,-2.56348,-0.342396,2.00639,1.79153,2.32347,-40.5388,12587.5,55.759,16615.1,21183.4,-2.30822,-0.0871335,2.51691,2.04679,2.57873,0.469797,12619.8,58.6945,16647.4,0.410194,0.991926,0.00645289,30765.4,-9.73235e-05,1.05989,13.7323,10.9573,115.359,89.311,1.27687,13.6456,12.0302,114.707,139.773,0.652103,-50.4623,0.7580643223566441,12.266577794560307,12.812466472931744,0.9573939428817466,45.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,1560.9147224106255
45.32,158.5,158.5,28440.25,-0.00952463,45.14635,13.7512,115.09549999999999,0.0006612000000000007,10.434550000000002,500.0,-0.7864414999999999,-0.7125824999999999,2.77412,-1.232218,2.98439,-119.0558,14156.45,81.84344999999999,13523.2,20216.95,-0.03678000000000001,0.03708,4.273445,-0.482556,3.734055,0.430975,14251.25,90.4646,13618.05,0.489167,0.9890829999999999,0.012194255000000001,29094.949999999997,-0.00016126185000000002,1.1228500000000001,14.127099999999999,-0.06669999999999998,114.79650000000001,90.04374999999999,0.9897365,13.6889,12.6612,114.3165,140.4345,0.479875,-50.391,1.0528149360818033,12.631847182419522,13.16488310760953,0.954608400672493,45.32,13.435028842544403,13.435028842544403,1172.8780179541243,0.0009654411726252412,2.0496904266254417,0.07127636354360431,0.036062445840510264,0.018991049665039582,30.535769949437988,0.0,0.8806428061050063,2.0124789322655032,0.6778325604454247,0.5300783558758082,0.6618519471906085,43.12106857303051,1796.263356248188,23.511654027843296,839.4771706246678,819.8903127858018,0.6091215803039652,2.2839973296394196,1.2208693551932577,0.2585564229679858,0.3903300142827862,0.0076607948673750636,1761.897966682521,20.38928261415786,873.7718495122166,0.04694764763009968,0.001114400287149975,0.003464462603355679,809.4251324242401,0.0001530789307639853,0.1430477018340386,0.1168140402520186,15.974814979210246,0.000707106781174851,0.21347553724021606,0.046744707983899195,0.1895046173579952,0.008626702730475872,0.05020458146424343,0.4108290398693863,0.05032337540348422,0.19770705601976016,0.19693113335439383,,0.09561216426012657,,45.32,9.5,9.5,829.3499999999985,0.0006826700000000002,1.4493499999999973,0.05040000000000022,0.025499999999997414,0.0134287,21.59205,0.0,0.6227085,1.4230375,0.47930000000000017,0.374822,0.46799999999999997,30.491199999999996,1270.150000000001,16.625249999999998,593.599999999999,579.75,0.43071400000000004,1.61503,0.8632850000000002,0.18282699999999996,0.27600500000000006,0.005417000000000005,1245.8500000000004,14.4174,617.8499999999999,0.03319700000000003,0.0007879999999999832,0.002449745000000001,572.3499999999995,0.00010824315000000001,0.10115000000000002,0.08260000000000067,11.2959,0.0004999999999917293,0.15094999999999814,0.03305350000000007,0.13400000000000034,0.006099999999999994,0.03549999999999898,0.29050000000000153,0.035584000000000005,0.13980000000000103,0.13925133982164417,,0.06760800971225756,,2024-10-30_B_e.dat,-70.53527758937526
45.325,4.0,4.0,26436.5,-0.0154329,42.0238,13.7296,115.214,-0.0237499,-4.60553,3.97424e-10,2.05413,1.57322,-0.791827,0.854825,4.03157,19.9667,13571.8,46.7501,12118.1,18785.9,1.9284,1.4475,-1.04328,0.7291,3.90585,1.14973,13555.9,45.3043,12102.2,0.506815,0.994185,0.00684866,26747.3,-0.000224676,1.11344,13.9816,11.0628,114.839,88.9154,0.910657,13.7884,12.3344,114.53,139.224,0.308922,-50.3086,1.1201186561121117,12.436866344863564,13.041151826430056,0.9536631817795567,45.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,624.8147224106251
45.335,20.0,20.0,29043.5,0.0010565,46.2271,13.6314,115.25,-0.0174246,22.5663,2.98405e-12,-1.17189,-1.16469,0.576491,1.58337,3.92197,22.3669,15151.6,40.5974,12964.6,20525.9,-1.31272,-1.30552,0.294815,1.44253,3.78113,0.898348,15133.8,38.9777,12946.8,0.517469,0.995513,0.00551526,29245.8,-3.90714e-05,1.25961,14.043,10.877,114.852,89.0623,0.998896,13.5648,12.1088,114.663,139.236,0.189112,-50.1734,1.1689220502363518,12.359033578722894,12.816140223951983,0.964333517171199,45.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-953.0852775893745
45.34,153.33333333333334,153.33333333333334,27870.899999999998,-0.04382149999999999,44.8963,13.593966666666667,115.13633333333333,-0.0037073299999999996,-11.027899999999997,337.4626666666666,1.649131,-1.4910610000000002,3.5717133333333333,0.36447999999999997,1.9717966666666669,-41.96703333333333,14659.366666666667,71.0124,12504.133333333331,19920.933333333334,1.9133866666666666,-1.226804,4.100223333333333,0.6287336666666666,2.23605,0.4588316666666667,14692.800000000001,74.05133333333333,12537.6,0.5173643333333333,0.9915076666666667,0.010589916666666666,28358.733333333334,-0.0002362723,1.19821,13.8795,3.7101,114.80233333333335,89.92293333333333,0.945094,13.613066666666667,12.359900000000001,114.34100000000001,140.34733333333335,0.46099766666666664,-50.424733333333336,1.1815498486118943,12.4511257416066,12.971077257199942,0.9572502528950366,45.34,19.218047073866096,19.218047073866096,2393.823429160973,0.02095660748045828,3.59152639973591,0.08387641702727423,0.04552288801617169,0.026136095675037236,110.23035982872413,91.42816512067455,0.7518775714389941,1.0368733559326326,0.7985257642263858,0.9445092278829254,0.6447217807188874,19.968667818443304,1977.8694454724093,42.35319976967502,1272.5020956105864,1574.0884388538454,0.6270900343916601,0.9335212871209742,0.549763950831021,1.0512889810705397,0.5211393348232312,0.041025620145627696,1973.7391114329175,43.0283588062958,1288.34671187534,0.044048207277179084,0.004634302356701936,0.005977957753767864,2202.2116844965967,0.00026683401398092034,0.1586080234414387,0.10008871065210052,12.898266489726439,0.11300589955101902,0.33170671282525477,0.07839433172749159,0.15249709286846527,0.14305243793798117,0.061220911460058036,0.3584750107515544,0.051910175893877815,0.0557230951521358,0.21573717038020387,0.04746033504929094,0.10475219150745708,0.005055736130367955,45.34,11.09554465139549,11.09554465139549,1382.0746012185207,0.012099302970143912,2.073568733689175,0.04842607194935809,0.02628265165042592,0.015089681873548562,63.64152791998319,52.78607574393501,0.4340967182679454,0.5986391111632562,0.46102906493095547,0.5453126569702925,0.37223029365046456,11.528915740336458,1141.9234567654314,24.45263128806387,734.6794274451349,908.8003839005454,0.3620506001621566,0.5389687664135403,0.31740636500304215,0.6069619762171635,0.30087993524549506,0.023686152834749487,1139.5388072958876,24.842434539602685,743.8273209107967,0.025431244328799778,0.0026756157131479796,0.003451375518342087,1271.4475088566492,0.00015405668980083274,0.0915723850295491,0.0577862440378328,7.446817629923089,0.06524398652579663,0.19151095994166673,0.04526098852580809,0.08804423761824379,0.08259136355172565,0.03534590971149875,0.20696564395516395,0.02997035402601118,0.032171743986164736,0.12455591339321886,0.0335595247507392,0.06047870596503358,0.003574945301673016,2024-10-30_B_e.dat,-512.0852775893763
45.345,39.0,39.0,29818.1,-0.0329711,47.6231,13.6789,115.236,-0.018139,-1.97266,178.782,-1.41083,1.24744,4.38339,1.40478,2.38217,-75.3595,16293.6,86.0731,12677.6,21207.4,-0.936313,1.72196,5.33243,1.8793,2.85669,0.508716,16353.7,91.53,12737.6,0.540837,0.9903,0.0130641,30237.7,-0.000263326,1.3035,14.1055,11.2811,114.735,88.8352,0.951155,13.5806,12.5148,114.68,139.085,0.0551997,-50.2497,1.2838917849516394,12.614497851678442,13.036812987843309,0.9676059527310339,45.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-2172.985277589376
45.355,26.0,26.0,29042.9,0.0155235,45.9352,13.6953,115.256,-0.0109481,5.86321,1.08263,-1.56152,2.58756,0.0624123,-0.3976,1.78928,-86.1086,14881.9,77.6332,13176.9,20481.3,-1.01931,3.12976,1.14682,0.144603,2.33148,0.799974,14950.5,83.8685,13245.5,0.508727,0.990278,0.0115295,29388.0,-4.89729e-05,1.19881,13.9408,11.2979,114.912,88.6606,0.986459,13.8452,12.2851,114.556,138.88,0.355622,-50.219,1.1287229625155712,12.549970690005615,13.041842911183986,0.9622850677984652,45.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-769.7852775893753
45.36,151.0,151.0,28923.899999999998,-0.020336566666666663,46.7126,13.531066666666668,115.17866666666667,-0.007602456666666667,20.76306666666667,81.92529930000045,-2.1558166666666665,-2.1166553333333336,-0.16599733333333333,1.0429333333333333,1.503723,-119.68073333333332,14723.166666666666,83.02199999999999,13557.633333333333,20629.233333333334,-1.4022206666666666,-1.36306,1.3412,1.7965343333333335,2.2573166666666666,0.5641346666666667,14818.466666666665,91.68853333333334,13652.966666666667,0.49909699999999996,0.989344,0.0123198,29700.2,-0.00026921566666666664,1.2015833333333334,13.815933333333334,11.205599999999999,114.86,89.54283333333335,1.0220026666666666,13.589733333333333,12.389966666666666,114.41033333333333,139.98366666666666,0.44945433333333334,-50.4407,1.094380062237995,12.442414943277058,12.975767432160799,0.9588681428844614,45.36,14.0,14.0,1007.477647394719,0.04034026064248139,1.2582556536729743,0.17099503891438878,0.0650410127022428,0.024808961101296306,88.97153417455121,141.83392227269093,0.6643869021386057,1.640701055483702,1.632622108021735,1.2108623505722413,0.6545791024444638,19.275622812592417,1172.8283349805856,20.297177459932694,1206.9106857316872,796.1639801782882,0.7584631852907123,1.7328387036305486,1.4045016277512818,1.0895238210963234,0.5559175451749416,0.3339986212251981,1157.7134072529923,18.964635024258527,1216.0964613604187,0.038405716605734594,0.0014570576515704804,0.0030381427731428286,912.1440894946362,0.00012679575150742763,0.07323241518162112,0.19015031773135035,0.20598922301906936,0.10643777524920671,0.17596313060790295,0.08765130630135157,0.07604514010331945,0.23105052117087557,0.06206716791777303,0.13603063380478747,0.13431983032052017,0.08639901619810351,0.16267597757697627,0.19410684937343017,0.1524674873956142,0.0039120864462874536,45.36,8.082903768654761,8.082903768654761,581.6674909258719,0.023290460341116297,0.7264542403574603,0.09872403174731288,0.037551446192005754,0.014323460370148377,51.36773920589113,81.88785320435856,0.38358395679578555,0.9472591960432185,0.9425948135512829,0.6990917040544665,0.3779214210022148,11.128786019647924,677.1327549142617,11.718580870281746,696.8102092950254,459.66548827501856,0.4378989241980138,1.0004548920032994,0.8108893928594701,0.629036871398472,0.32095914435398853,0.19283419387333198,668.406147321954,10.949237136338665,702.113619326989,0.022173550820741347,0.0008412326273590208,0.0017540725479105281,526.6266356094543,7.320556126491423e-05,0.04228075461851539,0.10978333712868799,0.11892793336022155,0.06145187819207438,0.10159236082392203,0.050605505287907665,0.043904682109214284,0.13339708059440833,0.03583449610516396,0.07853732304522945,0.07754959019305717,0.049882495259693904,0.09392101944475278,0.11206764173730005,0.08802714489052374,0.0022586441628571477,2024-10-30_B_e.dat,-637.7519442560406
45.365,2.0,2.0,28283.7,-0.0466774,44.6014,13.8932,115.458,0.0233376,-35.2695,99.5024,0.414618,3.20442,2.39854,-0.160742,1.14218,36.2554,14897.2,58.749,12572.2,20198.7,0.186327,2.97613,1.94196,-0.389033,0.91389,0.655025,14868.3,56.1237,12543.3,0.520954,0.993438,0.00817492,28540.5,-0.000300189,1.19142,14.1984,11.2135,115.091,88.5602,0.924564,14.0151,12.4322,114.848,138.974,0.242941,-50.4137,1.18535792016455,12.617993437944085,13.199944174881953,0.9559126365060501,45.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-687.5852775893745
45.375,16.0,16.0,28065.2,0.0279681,44.0329,13.7726,115.048,0.0118479,-45.5511,163.457,0.658737,0.500061,1.36985,-0.513284,1.63527,-11.8379,14987.6,58.1002,12161.7,19759.4,0.733277,0.574601,1.51894,-0.438744,1.70981,0.629336,14997.0,58.9574,12171.2,0.530612,0.993167,0.00884427,28263.6,-0.000143059,1.21852,13.9673,11.1799,114.78,88.5346,0.892964,13.9614,12.4851,114.279,138.991,0.501043,-50.4566,1.2321710266859471,12.496120088651518,13.202631371813727,0.9464870855464056,45.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-816.2852775893753
45.38,154.33333333333334,154.33333333333334,27826.899999999998,0.009597133333333332,44.96243333333334,13.515766666666666,115.13733333333333,0.0027726933333333333,-41.80356666666667,166.66666666667308,-1.7122736666666665,-0.23874393333333335,1.3318636666666668,0.658975,2.6228866666666666,-64.02603333333333,12945.766666666668,58.51586666666666,14209.666666666666,19784.533333333333,-1.3091196666666667,0.16441066666666668,2.1381729999999997,1.0621303333333334,3.0260466666666663,0.6041883333333333,12996.766666666668,63.15213333333333,14260.666666666666,0.4563253333333333,0.991572,0.008076736666666666,28540.899999999998,-0.00018862066666666666,1.0765933333333333,13.7457,11.0543,114.76666666666667,89.71803333333332,1.0772593333333333,13.5953,12.300966666666667,114.41466666666668,140.06633333333335,0.3520393333333333,-50.3484,0.9176175707209356,12.326616647842892,12.931831090800534,0.9532004004845257,45.38,17.61628034896508,17.61628034896508,1612.809942305665,0.029573627626710477,2.5104180415487227,0.10846964245047265,0.14813619859215477,0.0015660767598152184,30.083423905920906,288.67513459480733,1.1219753689187357,0.33384232013004783,3.037558864439722,0.2847075325680724,0.5496191649982136,27.434379033310258,43.08321405528257,9.004663045518878,1486.9811442427008,1045.3140883645144,1.2457396630357138,0.31992619899803976,2.704349526719688,0.43801570022127434,0.6985099969458801,0.37590712522421454,48.33314942493826,9.050450738130854,1481.6903871367103,0.02473142321689822,0.0011661659401645391,0.0004688341358447928,1652.1392526055429,0.00010303268487394344,0.01102698659350484,0.13110732244996842,0.052411926123736026,0.16065283481261972,0.39936850568533,0.11675732611418155,0.034115832101826754,0.12037160517885193,0.1361114739224055,0.559156805675581,0.07589272235421085,0.16673248033901514,0.09044110179195076,0.056637493620665884,0.06243415336991053,0.0004492454792408046,45.38,10.170764201594903,10.170764201594903,931.1562543418804,0.017074341871195046,1.449390532066648,0.06262497726768285,0.08552647413390842,0.0009041748388509333,17.36867289022906,166.66666666666347,0.6477727812693618,0.19274395339397235,1.7537354280636075,0.16437597056849074,0.3173227728634959,15.839246119931902,24.874105232371658,5.198844633292199,858.5089639084209,603.5123703049607,0.719228129793863,0.18470947711233202,1.5613569272344487,0.25288848243203516,0.40328493476834854,0.21703007993849865,27.905156831270514,5.225280169947296,855.4543438690605,0.014278693851718748,0.0006732862194737696,0.0002706815145352767,953.8630422305573,5.948594834730113e-05,0.006366433678110414,0.07569484790922035,0.030260039656285775,0.09275295742514247,0.23057551426328388,0.06740987366188364,0.019696784847617752,0.06949657865279751,0.07858399610889755,0.32282933227600796,0.04381668368073716,0.09626304240638438,0.052216194465389124,0.03269967218811716,0.036046375254744224,0.000259371998371901,2024-10-30_B_e.dat,1183.9480557439565
45.385,29.0,29.0,27229.6,-0.00932779,42.0374,14.0952,115.39,0.117154,-103.647,72.2269,0.890488,0.931096,-0.943177,0.729423,0.409947,-56.0903,14856.0,70.1307,11346.1,19683.9,1.24367,1.28428,-0.236806,1.08261,0.763133,1.05724,14900.7,74.1924,11390.8,0.545479,0.991362,0.011856,27316.7,-9.58012e-05,1.15475,14.5071,11.3278,115.154,88.738,0.823977,14.0427,12.5544,114.536,139.046,0.617929,-50.3078,1.3081346349685712,12.819263917245795,13.277713390490096,0.9654722571754971,45.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-719.985277589376
45.395,36.0,36.0,26959.6,-0.0524502,43.126,13.7168,115.456,0.116014,-98.8011,12.365,-0.437595,2.63283,-0.725035,-0.335058,-2.80652,-25.0416,14381.0,69.3109,11924.6,19630.1,-0.279914,2.79051,-0.409675,-0.177378,-2.64884,0.435167,14400.9,71.1242,11944.5,0.525189,0.991431,0.0108499,27420.5,-0.000300523,1.16574,14.0041,11.1747,115.125,88.7701,0.904029,13.7556,12.2339,114.711,139.027,0.414882,-50.2566,1.2056511365063418,12.509660917466947,12.972456777341753,0.964324732946257,45.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-220.1852775893749
45.4,153.0,153.0,26837.399999999998,-0.03438251,42.758633333333336,13.7348,115.16533333333332,0.0156531,-13.45829,106.43673333333334,1.5410626666666667,-1.3373543333333335,0.989597,-0.19132123333333328,0.7200266666666667,-73.0938,13866.4,58.44570000000001,12299.1,19124.13333333333,2.0013166666666664,-0.8771012666666667,1.9101016666666668,0.2689333333333333,1.1802833333333334,0.6799803333333333,13924.6,63.7386,12357.299999999997,0.5086216666666666,0.9920543333333333,0.009456696666666667,27394.100000000002,-0.0003278413333333333,1.11867,14.135866666666667,-3.617433333333333,114.75933333333334,90.03116666666666,0.9161250000000001,13.7395,12.5235,114.44099999999999,140.56966666666668,0.3182453333333333,-50.538466666666665,1.1290500596347754,12.8151299704685,13.117233719197436,0.9626504356505104,45.4,14.0,14.0,1063.7509623967449,0.026296806924117233,2.528012737968958,0.29650266440624135,0.043775944688076183,0.02810432754719458,23.270946993844063,43.605548619565994,0.6779306963114543,1.1439093058308134,2.3897582871384713,1.0295617796133767,2.103702886681799,5.223428636441776,281.467369334351,14.201145569284192,813.6557564474056,782.4923343607506,0.6877594842191079,1.1752988493407168,2.4377359229535784,1.0193319353695995,2.092135879175474,0.5599830416292384,277.5960554474786,14.307171576870108,809.456453430325,0.01148670611330047,0.0017696805738136032,0.002339041740378597,1149.387784866362,9.351315914529514e-06,0.06140930466956933,0.3952966776148425,12.924911549923015,0.11888790238428443,0.6036301544268174,0.09348408468290209,0.21979153759869913,0.320784226544885,0.08277680834630131,0.6564315145796527,0.19117130249421152,0.0601632224314245,0.051182126966841726,,0.2668328857631484,,45.4,8.082903768654761,8.082903768654761,614.1569044904842,0.015182468556466698,1.4595488347811807,0.1711858931103847,0.025274053449690952,0.016226041074766207,13.435487511193383,25.17567523366774,0.39140347000732856,0.6604363456499381,1.3797275903775355,0.5944177706071332,1.2145734279207294,3.015747929342459,162.50526145328337,8.199035217227289,469.7643700125982,451.77215988199805,0.3970781233516201,0.6785591070451202,1.4074274913304692,0.5885115672792205,1.2078952130232343,0.3233063598262662,160.27015733858005,8.26024936124812,467.33990128527796,0.006631852866616147,0.0010217255556709353,0.0013504463784533539,663.5993469958617,5.398984760530847e-06,0.035454678581723596,0.22822464323069402,7.462201162600156,0.06863996244495657,0.34850603214929843,0.053973061456619294,0.1268967033982107,0.18520485954747523,0.047791212581395126,0.3789909116471162,0.1103728029563644,0.03473525266609827,0.029550014782003677,,0.15405603842399837,,2024-10-30_B_e.dat,256.1147224106244
45.405,19.0,19.0,28584.7,-0.0030301,46.1182,13.4707,115.341,-0.0290116,-22.061,2.7848,-0.521178,-1.97126,-3.35109,-1.57802,0.307367,-79.6543,14439.3,64.5817,13269.4,20244.3,-0.0196158,-1.4697,-2.34797,-1.07646,0.808929,0.427996,14502.8,70.3497,13332.8,0.499483,0.991583,0.00962618,29035.5,1.10077e-05,1.20417,13.736,11.0417,114.944,88.2806,1.03892,13.4147,12.0198,114.746,138.329,0.197455,-50.0487,1.0877535101404057,12.3153883901402,12.698110531098711,0.9698599141958015,45.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,-322.0852775893745
45.415,14.0,14.0,24424.8,0.00393084,38.5432,13.738,115.307,-0.0216221,-15.3484,2.24776e-09,0.358446,2.41714,-3.22357,-0.700981,-1.63865,-127.563,10532.3,25.9944,13285.9,17248.0,1.16167,3.22037,-1.61712,0.102248,-0.835423,1.79592,10633.9,35.2315,13387.5,0.421541,0.994235,0.00482444,25226.2,-0.000188927,0.852006,13.9595,11.225,115.17,88.3295,0.986003,13.9041,12.2867,114.485,138.546,0.684817,-50.2165,0.7943155929038281,12.517802822380611,13.070405711759676,0.9577210607256148,45.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-30_B_e.dat,3546.814722410625
