,xs,Gammas_Sat,Gammas_Lin
0,0.0,0.0,0.0
1,34.3487045455,0.0374298428,0.038334243000000004
2,68.6974090909,0.0731075588,0.0766684859
3,103.0461136364,0.10711516680000001,0.1150027289
4,137.3948181818,0.1395308462,0.1533369719
5,171.7435227273,0.1704291166,0.1916712149
6,206.0922272727,0.1998810094,0.2300054578
7,240.4409318182,0.227954231,0.2683397008
8,274.7896363636,0.2547133182,0.3066739438
9,309.1383409091,0.2802197869,0.3450081867
10,343.4870454545,0.3045322734,0.3833424297
11,377.83575,0.3277066692,0.42167667270000003
12,412.1844545455,0.34979624940000004,0.4600109156
13,446.5331590909,0.3708517952,0.4983451586
14,480.8818636364,0.39092171070000004,0.5366794016
15,515.2305681818,0.41005213430000004,0.5750136446
16,549.5792727273,0.4282870445,0.6133478875
17,583.9279772727,0.4456683611,0.6516821305
18,618.2766818182,0.46223604160000004,0.6900163735
19,652.6253863636,0.4780281732,0.7283506164
20,686.9740909091,0.4930810599,0.7666848594
21,721.3227954545,0.5074293067,0.8050191024000001
22,755.6715,0.5211058983,0.8433533453000001
23,790.0202045455,0.5341422755,0.8816875883
24,824.3689090909,0.5465684075,0.9200218313
25,858.7176136364,0.5584128604,0.9583560743
26,893.0663181818,0.5697028631000001,0.9966903172
27,927.4150227273,0.5804643699,1.0350245602
28,961.7637272727,0.5907221204,1.0733588032
29,996.1124318182,0.6004996957000001,1.1116930461
30,1030.4611363636,0.6098195734,1.1500272891
31,1064.8098409091,0.6187031786,1.1883615321
32,1099.1585454545,0.6271709339,1.226695775
33,1133.50725,0.6352423054,1.265030018
34,1167.8559545455,0.6429358483000001,1.303364261
35,1202.2046590909,0.650269249,1.341698504
36,1236.5533636364,0.6572593663,1.3800327469
37,1270.9020681818,0.6639222695,1.4183669899
38,1305.2507727273,0.6702732759000001,1.4567012329
39,1339.5994772727,0.6763269855,1.4950354758
40,1373.9481818182,0.6820973152,1.5333697188
41,1408.2968863636,0.6875975303,1.5717039618
42,1442.6455909091,0.692840275,1.6100382047
43,1476.9942954545,0.6978376018,1.6483724477000001
44,1511.343,0.7026009990000001,1.6867066907000001
45,1545.6917045455,0.707141417,1.7250409337000001
46,1580.0404090909,0.7114692937,1.7633751766
47,1614.3891136364,0.7155945784000001,1.8017094196
48,1648.7378181818,0.7195267545,1.8400436626
49,1683.0865227273,0.7232748617,1.8783779055
50,1717.4352272727,0.7268475164,1.9167121485
51,1751.7839318182,0.7302529318000001,1.9550463915
52,1786.1326363636,0.7334989364000001,1.9933806344
53,1820.4813409091,0.7365929924,2.0317148774
54,1854.8300454545,0.7395422127,2.0700491204
55,1889.17875,0.7423533771,2.1083833634
56,1923.5274545455,0.7450329483,2.1467176063
57,1957.8761590909,0.7475870862,2.1850518493
58,1992.2248636364,0.7500216624,2.2233860923
59,2026.5735681818,0.7523422738000001,2.2617203352
60,2060.9222727273,0.7545542552000001,2.3000545782
61,2095.2709772727,0.7566626916,2.3383888212
62,2129.6196818182,0.7586724301000001,2.3767230641
63,2163.9683863636,0.7605880907,2.4150573071
64,2198.3170909091,0.7624140775,2.4533915501
65,2232.6657954545,0.7641545881,2.4917257931
66,2267.0145,0.7658136238000001,2.530060036
67,2301.3632045455,0.7673949983,2.568394279
68,2335.7119090909,0.7689023473000001,2.606728522
69,2370.0606136364,0.7703391358,2.6450627649
70,2404.4093181818,0.7717086668,2.6833970079
71,2438.7580227273,0.7730140888,2.7217312509
72,2473.1067272727,0.7742584027,2.7600654938
73,2507.4554318182,0.7754444691,2.7983997368
74,2541.8041363636,0.7765750146,2.8367339798
75,2576.1528409091,0.7776526382000001,2.8750682228
76,2610.5015454545,0.7786798172,2.9134024657
77,2644.85025,0.779658913,2.9517367087
78,2679.1989545455,0.7805921763,2.9900709517
79,2713.5476590909,0.7814817527,3.0284051946
80,2747.8963636364,0.7823296872000001,3.0667394376
81,2782.2450681818,0.7831379291,3.1050736806
82,2816.5937727273,0.7839083363,3.1434079235
83,2850.9424772727,0.7846426801,3.1817421665
84,2885.2911818182,0.7853426486,3.2200764095
85,2919.6398863636,0.7860098508000001,3.2584106525
86,2953.9885909091,0.7866458207,3.2967448954
87,2988.3372954545,0.7872520202000001,3.3350791384
88,3022.686,0.787829843,3.3734133814
89,3057.0347045455,0.7883806173,3.4117476243000002
90,3091.3834090909,0.7889056093,3.4500818673
91,3125.7321136364,0.7894060260000001,3.4884161103
92,3160.0808181818,0.7898830176,3.5267503532
93,3194.4295227273,0.7903376809,3.5650845962
94,3228.7782272727,0.7907710609,3.6034188392
95,3263.1269318182,0.7911841540000001,3.6417530822
96,3297.4756363636,0.7915779098,3.6800873251
97,3331.8243409091,0.7919532335,3.7184215681
98,3366.1730454545,0.7923109879,3.7567558111
99,3400.52175,0.7926519956,3.795090054
